Unnamed: 0,review,tokens
0,데이오프 텀블러 이전 모델 사용 시 뚜껑이 가끔 잘 안 물려서 물이 새곤 했었어요 뚜껑이 리뉴얼 돼서 잠길 때 더 부드럽게 잠기고 어긋나게 물림이 보완됐네요 500미리짜리라 활용도도 높고  손잡이는 사용 내내 편안함을 느낍니다 다른 색으로 하나 더 구매하고 싶어요,"['데이', '데이오프', '텀블러', '이전', '모델', '사용', '시', '뚜껑', '가끔', '자다', '안', '물리다', '물이', '새다', '뚜껑', '리뉴얼', '잠기다', '더', '부드럽다', '잠기', '어긋나게', '물리다', '보완', '미리', '활용', '도도', '높다', '손잡이', '사용', '내내', '편안함', '느끼다', '색', '더', '구매']"
1,고급스럽고 좋습니다 안에서 철 냄새도 안 나서 좋아요 들고 다니기에도 매우 편해서 만족합니다,"['고급스럽다', '좋다', '안', '철', '냄새', '안', '나서다', '좋다', '들다', '다니다', '기', '매우', '편하다', '만족하다']"
2,가볍고 색도 이뻐요 베이지색이 좀 어두운색이고 이외는 사진이랑 같은 거 같아요 입이 닿는 곳도 스테인리스강이었으면 더 좋을 텐데 플라스틱이 닿아서 살짝 아쉬워요 저는 중간에 음료 새지 말 라고 있는 게 청소도 그렇고 되레 없었으면 좋겠다 생각이 되네요 뜨거운 음료에 플라스틱 부분이 닿으면 아무래도 좋지 않을듯해요,"['가볍다', '색도', '이쁘다', '베이지색', '어두운색', '이외', '사진', '입', '닿다', '곳도', '스테인리스강', '더', '좋다', '플라스틱', '닿다', '살짝', '아쉽다', '중간', '음료', '새다', '말', '청소', '그렇다', '되레', '없다', '좋다', '생각', '뜨겁다', '음료', '플라스틱', '부분', '닿다', '좋다', '않다']"
3,대학생 아들 가끔 방학 중 동아리활동 때 물을 갖고 가는 게 편하다 해 들려 보냅니다 고딩땨 쓰던 낡은 텀블러 정리이고 새로 갈아탔어요 색상 고민 만 있는데 마음에 쏙 듭니다,"['대학생', '아들', '가끔', '방학', '동아리활동', '물', '갖다', '편하다', '들다', '보내다', '고딩', '땨', '쓰다', '낡다', '텀블러', '정리', '새롭다', '갈아타다', '색상', '고민', '만', '마음', '쏙', '듭니']"
4,귀엽고 이뻐요 스탠리 제품과 고민하다 일본 제품이라 더 믿음이 가서 구매요,"['귀엽다', '이쁘다', '스탠리', '제품', '고민', '일본', '제품', '더', '믿음', '구매']"
5,기존에 쓰던 게 너무 좋아서 아들 학교 물통으로 구매했어요 색깔이 더 많음 좋겠는데 아들이 다크 그레이 선택했어요 ㅋㅋ 근데 이 텀블러 손잡이가 있어서 은근 편하고 이용구가 스테인리스 이 아니라서 좋고요 얼음을 넣어도 빨대 안 쓰고 마실 수 있고 음료도 한 번에 많이 안 나와서 좋아요 식사 기도 쓰지 말라고 되어 있긴 한데 저는 신세기 써도 괜찮더라고요 너무  잘 쓰고 있어요 담에도 또 주문할 것 같아요,"['기존', '쓰다', '좋다', '아들', '학교', '물통', '구매', '색깔', '더', '많다', '좋다', '아들', '다크', '그레이', '선택', '텀블러', '손잡이', '은근', '편하다', '이용구', '스테인리스', '아니다', '좋다', '얼음', '넣다', '빨대', '안', '쓰다', '말다', '음료', '번', '안', '나오다', '좋다', '식사', '기도', '쓰다', '말', '신세기', '써다', '괜찮다', '자다', '쓰다', '담', '주문']"
6,킨토 텀블러 가볍고 휴대하기도 좋아서 하나 더 구입했어요   맘에 듭니다 ,"['킨토', '텀블러', '가볍다', '휴대', '좋다', '더', '구입', '맘', '듭니']"
7,화이트 재입고 되어서 잘 구매했습니다  킨토 제품 좋은 가격에 판매해 주셔서 좋아요,"['화이트', '재', '입다', '자다', '구매', '킨토', '제품', '좋다', '가격', '판매', '주다', '좋다']"
8,배송도 빠르고 포장 잘 되어서 잘 왔어요 텀블러 예뻐요,"['배송', '빠르다', '포장', '자다', '자다', '오다', '텀블러', '예쁘다']"
9,깔끔하고 입구가 커서 좋아요  세척도 비교적 편한 편입니다,"['깔끔하다', '입구', '커서', '좋다', '세척', '비교', '편하다', '편입', '니']"
10,다른 곳과 비교해서 제일 저렴한 곳을 찾아서 주문했어요 킨토 텀블러는 뭐 말해 입 아프죠 휘뚤마뚤 잘 들고 댕깁니다 얼음도 진짜 안 녹아요 가족들 꺼도 조만간 새로 사려고요,"['곳', '비교', '제일', '저렴하다', '곳', '찾다', '주문', '킨토', '텀블러', '뭐', '말', '입', '아프다', '휘뚤마뚤', '자다', '들다', '댕', '얼음', '진짜', '안', '녹다', '가족', '끄다', '조만간', '새롭다', '사다']"
11,빠른 배송 감사합니다,"['빠르다', '배송', '감사하다']"
12,디자인은 심플하고 좋은데 씻기 불편하네요,"['디자인', '심플', '좋다', '씻다', '불편하다']"
13,3년 내내 잘 써서 새로 샀어요 손잡이 있어서 너무 편하고 용량이 커서 좋아요,"['내내', '자다', '써다', '새롭다', '사다', '손잡이', '편하다', '용량', '커서', '좋다']"
14,그냥 무난하게 쓰기 좋아요,"['그냥', '무난', '쓰기', '좋다']"
15,가벼워 휴대 용이하고요  설거지하면서 스크래치 날 걱정 없는 소재이고 특히 여성분들 립스틱 자국 뚜껑 닫으면 다 가려집니다 진짜 신세계 텀블러 이걸루 정착할 것 같 아요,"['가볍다', '휴대', '용이하다', '설거지', '스크래치', '날', '걱정', '없다', '소재', '여성', '립스틱', '자국', '뚜껑', '닫다', '가려지다', '진짜', '신세계', '텀블러', '이걸루', '정착']"
16,선물용인데 문제없이 왔어요 감사합니다,"['선물', '선물용', '문제', '오다', '감사하다']"
17,배송 빠르고 보온 잘되고 편해요,"['배송', '빠르다', '보온', '편하다']"
18,생각보다 뚱뚱 텀블러지만 보온 보냉은 주 잘 돼서 만족합니다,"['생각', '뚱뚱', '텀블러', '보온', '보냉', '주', '자다', '만족하다']"
19,각종 텀블러 집에 쌓아두고 쓰는데 유명한 텀블러들은 낸 보온은 좋으나 뚜껑 부분이 밀폐가 살짝 약한지 가방에 누워져 있다 보면 어느새 한 방울씩 새길래 젖은 적이 몇번있습니다ㅠㅠ 킨토 구입 후 써 보니  완벽한 밀폐와 보냉 보온도 좋네요 분리세척되어서 더 좋고 깔끔한 화이트톤 좋아하는데 역시 맘에 듭니다,"['텀블러', '집', '쌓다', '두다', '쓰다', '유명하다', '텀블러', '내다', '보온', '좋다', '뚜껑', '부분', '밀폐', '살짝', '약', '한지', '가방', '눕다', '보다', '어느새다', '방울', '새기다', '젖다', '적', '몇번', '킨토', '구입', '후', '써다', '보다', '완벽하다', '밀폐', '보냉', '보온', '좋다', '분리', '세척', '더', '좋다', '깔끔하다', '화이트', '톤', '좋아하다', '역시', '맘', '듭니']"
20,똑같은 거 쓰고 있는데 오래 써서 바꿔주려고 구매했어요 튼튼하고 좋아요,"['똑같다', '쓰다', '써다', '바꾸다', '구매', '튼튼하다', '좋다']"
21,만적스러운 퀄리티와 깔끔한 색상 아주 좋습니다,"['만적', '퀄리티', '깔끔하다', '색상', '아주', '좋다']"
22,맘에 들어요 감사합니다,"['맘', '들다', '감사하다']"
23,배송도 빠르고 항상 잘 구입하고 있는 제품입니다 감사합니다,"['배송', '빠르다', '항상', '자다', '구입', '제품', '감사하다']"
24,원하는 디자인의 텀블러예요 킨토 물병은 다 좋아요,"['원하다', '디자인', '텀블러', '킨토', '물병', '좋다']"
25,샌드베이지색으로 구입했는데 질리지 않고 쓸 것 같습니다  안에도 이중구조라 얼음이나 물이 한 번에 같이 쏟아지는 일은 없어 좋습니다,"['새다', '드', '베이지색', '구입', '질리', '않다', '쓸다', '안', '중구', '얼음', '물이', '번', '쏟아지다', '없다', '좋다']"
26,좋은 물건 감사합니다,"['좋다', '물건', '감사하다']"
27,이 제품만 4개째 구매 중인데요 리뉴얼된 제품은 처음 구매해 봤어요 고무패킹 모양도 바뀌긴 했는데 겉에도 약간 까끌까끌해진 거 같아요  손으로 잡았을 때 덜미 끄러 질 것 같아요 이 제품은 얼음도 안 쏟아져 서 좋고 손잡이도 있고 암튼 요거보다 맘에 드는 건 아직 없네요 가지고 다니면서 마시기엔 이거보다 좋은 거 없는 거 같아요,"['제품', '구매', '리뉴얼', '제품', '처음', '구매', '보다', '고무', '패킹', '모양', '바뀌다', '겉', '까끌까끌하다', '손', '잡다', '덜미', '끄다', '질', '제품', '얼음', '안', '쏟아지다', '서다', '좋다', '손잡이', '맘', '들다', '없다', '가지', '다니다', '마시기', '좋다', '없다']"
28,일단 견고하고 가볍고 크기도 적당해요 무엇보다 립스틱 자국이 안 보여서 너무 맘에 듭니다,"['견고하다', '가볍다', '크기', '적당하다', '립스틱', '자국', '안', '보', '맘', '듭니']"
29,손잡이가 있어서 가지고 다니기 편리해요 번갈아가며 가지고 다니려고 재구매했습니다,"['손잡이', '가지', '다니다', '편리하다', '번갈아', '가지', '다니다', '재다']"
30,크기 용량 그립감 휴대성 모두 만족해요,"['크기', '용량', '그리다', '감', '휴대', '만족하다']"
31,전에 쓰던 거 잃어버려서 샀는데 역시 가 벼 유ㅓ요  테이크아웃용으로 딱이에요,"['전', '쓰다', '잃어버리다', '사다', '역시', '벼', '유요', '테이크아웃', '용', '딱이다']"
32,너무 만족스러워서 재구매 했어요,"['만족스럽다', '재다']"
33,다크 그레이 색상인데 실제로는 브라운 키가 살짝 돌아요 차콜 색에 브라운 한 방울 들어간 느낌 커피 담아 마실 거라 오히려 좋았습니다ㅎㅎ 무게는 500이라 들고 다니기엔 조금 무겁긴 해요 ,"['다크', '그레이', '색상', '실제', '브라운', '키', '살짝', '돌다', '차콜', '색', '브라운', '방울', '들어가다', '느낌', '커피', '담다', '말다', '좋다', '무게', '이르다', '들다', '다니다', '기', '무겁다']"
34,빠른 배송도 좋고 사용하기 편리해서 좋습니다 색도 예쁘네요,"['빠르다', '배송', '좋다', '사용', '편리하다', '좋다', '색도', '예쁘다']"
35,킨토 텀블러 이전에 구입해서 4년 이상 이용하다가 이 디자인이 실용적 이어 보여서 구매했습니다 두 가지 모두 색상도 이쁘고 마음에 듭니다,"['킨토', '텀블러', '이전', '구입', '이용', '디자인', '실용', '보', '구매', '두', '가지', '색상', '이쁘다', '마음', '듭니']"
36,초등학생 물 싸려고 샀어요 깔끔 싸고 물도 안 새서 좋아요,"['초등학생', '물', '싸다', '사다', '깔다', '끄다', '싸다', '물', '안', '새다', '좋다']"
37,일제가 좋네요 겉면 오돌토돌한 듯한 디자인 디테일도 너무 마음에 들고 가볍고 견고합니다 아직 써보지는 않았는데 기대되어요 ㅎㅎ,"['일제', '좋다', '겉', '오돌토돌하다', '디자인', '디테', '일도', '마음', '들다', '가볍다', '견고하다', '써다', '보지', '않다', '기대']"
38,디자인이 좋습니다 사용성 내구성 모두 좋아 보입니다 애가 좋아해서 다행입니다,"['디자인', '좋다', '사용성', '구성', '좋다', '보이다', '애가', '좋아하다', '다행']"
39,잘 쓰고 있어요 보온 보냉 다 만족하고 디자인도 이뻐요,"['자다', '쓰다', '보온', '보냉', '만족하다', '디자인', '이쁘다']"
40,보냉 보온 오래가고 스크래치에 강해요  킨토 너무 좋아서 다른 색으로 구입했어요,"['보냉', '보온', '스크래치', '강하다', '킨토', '좋다', '색', '구입']"
41,잘 쓰겠습니다 수고하세요,"['자다', '쓰다', '수고']"
42,디자인 깔끔하고 가볍고 너무 마음에 들어요,"['디자인', '깔끔하다', '가볍다', '마음', '들다']"
43,몇 년째 꾸준히 여기 거만 사용해요 아이들이 급식 받을 때 손잡이가 있어서 편하데요,"['꾸준하다', '거만', '사용', '급식', '받다', '손잡이', '편하다']"
44,언니네 선물해 줬는데 진짜 보냉 보온 너무 좋다고 하네요 진짜 킨 토 텀블러 좋은 가격에 너무 잘 샀어요,"['언니네', '선물', '주다', '진짜', '보냉', '보온', '좋다', '진짜', '킨', '토', '텀블러', '좋다', '가격', '자다', '사다']"
45,색 고민 한참 했는데 무난합니다,"['색', '고민', '한참', '무난']"
46,보온도 잘되고 밀폐도 잘됩니다,"['보온', '밀폐']"
47,계속 고민하고 비교해 보다가 구입했어요   손잡이 부분도 정말 마음에 쏙 들고 입 닿는 부분을 보호해 줘서 구매 결정했네요 감사합니다,"['계속', '고민', '비교', '보다', '구입', '손잡이', '부분', '정말', '마음', '쏙', '들다', '입', '닿다', '부분', '보호', '주다', '구매', '결정', '감사하다']"
48,무거운 편이에요? 손목이 아파요,"['무겁다', '편이', '손목', '아프다']"
49,킨토 텀블러 거의 색깔별로 다 구매해 사용 중인데 텀블러도 교체 시기가 있어 더 구입했습니다 깔끔한 디자인에 성능도 좋아서 만족하며 사용하고 있습니다 배송이 진짜 빨라요 감사합니 다,"['킨토', '텀블러', '색깔', '별로', '구매', '사용', '텀블러', '교체', '시기', '더', '구입', '깔끔하다', '디자인', '성능', '좋다', '만족하다', '사용', '배송', '진짜', '빨르다', '감사하다']"
50,매트한 소재여서 미끄럽지 않아 잡고 마시기 편리합니다 무엇보다 뚜껑에 손잡이가 있어 편하네요,"['매트', '소재', '미끄럽다', '않다', '잡고', '마시기', '편리하다', '뚜껑', '손잡이', '편하다']"
51,인터넷에 가품이 많네 요가 품 반품하고 다시 진품 삽니다 역시 진품은 다릅니다,"['인터넷', '가품', '많다', '요가', '품', '반품', '다시', '진품', '사다', '역시', '진품', '다르다']"
52,딸 둘이 만족하며 쓰고 있습니다,"['딸', '만족하다', '쓰다']"
53,제품 배송 모두 만족합니다,"['제품', '배송', '만족하다']"
54,깔끔하고 실용적인 텀블러,"['깔끔하다', '실용', '텀블러']"
55,깔끔하고 실용적인 텀블러 ,"['깔끔하다', '실용', '텀블러']"
56,너무 좋아요 보온도 적당하고 무엇보다 편해서 좋네요,"['좋다', '보온', '적당하다', '편하다', '좋다']"
57,잘 빋았습니다 ㅡ 배송,"['자다', '빋았습니', '배송']"
58,마감도 깔끔하고 뚜껑의 밀폐 도도 좋습니다,"['마감', '깔끔하다', '뚜껑', '밀폐', '도도', '좋다']"
59,남편과 함께 쓰려고 구입했는데 내구성과 휴대성 모두 용이하고 예쁘기까지 합니다,"['남편', '쓰다', '구입', '성과', '휴대', '용이하다', '예쁘다']"
60,자꾸 잃어버려서 세번째구매ㅠㅠ 자꾸 잃어버려서 세번째구매ㅠㅠ,"['자꾸', '잃어버리다', '세번', '구매', '자꾸', '잃어버리다', '세번', '구매']"
61,날이 더워져서 아이가 큰 물통을 사달라고 해서 주문했어 요배송 빨라요,"['날', '더워지다', '크다', '물통', '달라', '주문', '배송', '빨르다']"
62,무거운 편이에요 손목리 좀 아파요,"['무겁다', '편이', '손목', '리', '아프다']"
63,제일 좋아하고 활용성이 너무 좋아요 선물하려고 구매했어요,"['제일', '좋아하다', '활용', '좋다', '선물', '구매']"
64,선물로 구매했어요 포장도 꼼꼼하고 좋아요,"['선물', '구매', '포장', '꼼꼼하다', '좋다']"
65,그립감 좋고 음료가 한꺼번에 쏟아지지 않아 사용하기 좋아요,"['그리다', '감', '좋다', '음료', '번', '쏟아지다', '않다', '사용', '좋다']"
66,커피를 테이크아웃하는데 종이컵을 자주 쓰다 보니 미안한 마음도 들고 브랜드 템플러는 너무 비싸서 평이 좋아 샀는데 너무 만족합니다,"['커피', '테이크아웃', '종이컵', '자주', '쓰다', '보다', '미안하다', '마음', '들다', '브랜드', '템플러', '비싸다', '평이', '좋다', '사다', '만족하다']"
67,저는 나무 무겁더라고요 썼어,"['나무', '무겁다', '써다']"
68,일단 가볍고 손에 착 감기네요 표면도 안 미끄러워서 좋습니다,"['가볍다', '손', '착', '감다', '표면', '안', '미끄럽다', '좋다']"
69,뉴 칼라 색상이 모두 너무 이쁘네요 깔 별로 모두 갖고 싶네요,"['뉴', '칼라', '색상', '이쁘다', '깔다', '별로', '갖다']"
70,가볍고 보냉 수준이 만족스러워요 거기다 예쁘고 튼튼한 것 같아요,"['가볍다', '보냉', '수준', '만족스럽다', '거기', '예쁘다', '튼튼하다']"
71,좋아요 너무 잘 쓰고 있어요,"['좋다', '자다', '쓰다']"
72,손잡이도 있고 들고 다니기 좋아요 스테인리스강이라 역시 좋아요 ㅎㅎㅎ,"['손잡이', '들다', '다니다', '좋다', '스테인리스강', '역시', '좋다']"
73,손잡이가 있어서 아이가 급식실 갈 때 편하다고 하네요 3단으로 분리가 돼서 세척하기도 편하고 책가방 물병 주머니에 딱 맞아서 잘 사용할 것 같습니다,"['손잡이', '급식', '실', '갈다', '편하다', '단', '분리', '세척', '편하다', '책가방', '물병', '주머니', '맞다', '자다', '사용']"
74,화이트 지만 실제는 아이보리 색상이라 더 예쁩니다,"['화이트', '실제', '아이보리', '색상', '더', '예쁘다']"
75,산물용으로 구매했는데 포장도 꼼꼼하고 좋아요,"['산물용', '구매', '포장', '꼼꼼하다', '좋다']"
76,스테인리스강이라 역시 좋아요 손잡이도 있어 들고 다니기 좋아요,"['스테인리스강', '역시', '좋다', '손잡이', '들다', '다니다', '좋다']"
77,배송은 빠르게 왔고요 생각보다 무거워요 하지만 디자인이 이뻐서 그냥 사용하려고요,"['배송', '빠르다', '오다', '생각', '무거워', '디자인', '이쁘다', '그냥', '사용']"
78,킨토 작은 거 쓰다 큰 거 한 개 더 필요해서 또 구매했어요 어제저녁에 넣어논 아이스 아메리카노에 얼음이 아직도 안 녹고 그대로네요,"['킨토', '작다', '쓰다', '크다', '더', '필요하다', '구매', '어제', '저녁', '넣다', '논', '아이스', '아메리카노', '얼음', '안', '녹다', '그대로']"
79,주문 즉시 배송 준비되고 상품도 믿고 주문합니다,"['주문', '배송', '준비', '상품', '믿다', '주문']"
80,살짝 통통한 편이지만 귀엽고 예쁩니다 단 스크래치에 약한 재질이라 조심히 사용해야 되겠어요,"['살짝', '통통하다', '편이', '귀엽다', '예쁘다', '단', '스크래치', '약하다', '재질', '조심', '사용']"
81,킨토는 말해 뭐 합니까 무조건 이쁘고 디자인도 견고합니다 손잡이가 있어 더욱 편리해요,"['킨토', '말', '뭐', '합', '무조건', '이쁘다', '디자인', '견고하다', '손잡이', '더욱', '편리하다']"
82,너무 맘에 드네요 왜 고민했는지 모르겠어요 곡물 넣어도 걸러지고 손잡이도 맘에 들고 배송도 정말 빨라요 다른 색도 곧 사러 올게요,"['맘', '드네', '고민', '모르다', '곡물', '넣다', '걸다', '지고', '손잡이', '맘', '들다', '배송', '정말', '빨르다', '색도', '사르다', '오다']"
83,너무 이쁘네요 깔끔하고 좋아요 하나 더 살 걸 아쉽네요,"['이쁘다', '깔끔하다', '좋다', '더', '살', '아쉽다']"
84,요즘 매잋 갖고 다녀요 보온성 100점은 아니지만 꽤 몇 시간 따뜻해요,"['요즘', '매잋', '갖다', '다니다', '보온', '점', '아니다', '꽤', '따뜻하다']"
85,색깔 이쁘고 보온 잘되고 좋아요,"['색깔', '이쁘다', '보온', '좋다']"
86,안 새고 손잡이 편해서 좋아요,"['안', '새다', '손잡이', '편하다', '좋다']"
87,킨토 텀블러 기능도 디자인도 마음에 들어요,"['킨토', '텀블러', '기능', '디자인', '마음', '들다']"
88,뚜껑에 손잡이가 있어서 편하고 리뉴얼된 제품이 훨씬 뚜껑 닫기 수월합니다 그래서 신형으로 바꾸려고 여러 개 구매했어요,"['뚜껑', '손잡이', '편하다', '리뉴얼', '제품', '뚜껑', '닫다', '수월하다', '신형', '바꾸다', '여러', '구매']"
89,색깔도 예쁘고 좋아요 얼음도 오래가네요,"['색깔', '예쁘다', '좋다', '얼음']"
90,다른 색상 사용하다가 편하고 보온력도 좋아서 재구매 합니다,"['색상', '사용', '편하다', '보온', '좋다', '재다']"
91,마감이 살짝 아쉬운 부분도 있지만 요만한 텀블러가 없더라고요 화이트 쓰다가 좋아서 그레이도 구입했는데 맘에 들어요,"['마감', '살짝', '아쉽다', '부분', '요만', '한', '텀블러', '없다', '화이트', '쓰다', '좋다', '그레이', '구입', '맘', '들다']"
92,보통 여자 손으로 한 손에 본다는 좀 큰 둘레예요 세척 쉽고 얼음도 잘 들어가고  손잡이 잡고 돌리면 쉽게 열리고 좋아요,"['보통', '여자', '손', '손', '보다', '크다', '둘레', '세척', '쉬다', '얼음', '자다', '들어가다', '손잡이', '잡고', '돌리다', '쉬다', '열리다', '좋다']"
93,예전에 쓰던 건데 엄마가 가져가서 제거 하나 또 구매했네요 ㅎㅎ 흰색 너무 예쁘고 보냉 대박이에요 킨 토제품은 정말 믿고 구매합니다,"['예전', '쓰다', '엄마', '가져가다', '제거', '구매', '흰색', '예쁘다', '보냉', '대박', '킨', '토제', '품다', '정말', '믿다', '구매']"
94,중학교 입학한 아들 물병으로 구입했는데 용량도 적당하고 이쁘고 생각보다 가볍네요 저도 외출용으로 하는 구입해야 할 듯해요,"['중학교', '입학', '아들', '물병', '구입', '용량', '적당하다', '이쁘다', '생각', '가볍다', '외출', '용', '구입']"
95,4개째 구매임 미쳤음,"['구매', '미치다']"
96,고급스럽고 크기 무게 적당해서 좋아요 입구도 넓은 편이고 손잡이 있어 좋습니다,"['고급스럽다', '크기', '무게', '적당하다', '좋다', '입구', '넓다', '편이', '손잡이', '좋다']"
97,학교 가지고 다니기 좋아요,"['학교', '가지', '다니다', '좋다']"
98,손잡이가 있고 중간에 물 마시는 부분이 분리되어 있어서 너무 좋아요,"['손잡이', '중간', '물', '마시다', '부분', '분리', '좋다']"
99,일단 손잡이가 굿 중간에 물 마시는 부분이 분리되어 있어 진짜 좋아요,"['손잡이', '굿', '중간', '물', '마시다', '부분', '분리', '진짜', '좋다']"
100,남자친구긴 갖고 싶다고 해서 사주었어요 색이 고급스럽고 이쁩니다,"['남자친구', '갖다', '사주다', '색', '고급스럽다', '이쁘다']"
101,잘 사용하겠습니다,"['자다', '사용']"
102,색상도 이쁘고 손잡이가 있어 편해요 텀블러 들고 다니기 편합니다 무겁지 않아서 좋아요,"['색상', '이쁘다', '손잡이', '편하다', '텀블러', '들다', '다니다', '편하다', '무겁다', '않다', '좋다']"
103,텀블러 디자인이 맘에 들어요,"['텀블러', '디자인', '맘', '들다']"
104,제일 저렴하게 팔아서 샀어요 예쁜 노란색인 줄 알았는데 때탄 머스터드 색이라 좀 아쉽지만요ㅠ,"['제일', '저렴하다', '파다', '사다', '예쁘다', '노란색', '줄', '알다', '머스터드', '색', '아쉽다']"
105,색상은 생각한 색상은 아니네요 그래도 손잡이가 있어 휴대가 편할 것 같아요,"['색상', '생각', '색상', '아니다', '손잡이', '휴대', '편하다']"
106,좋아요 최고예요 ,"['좋다', '최고']"
107,아이 학교 보낼 때 들려 보내는데 만족해요 보냉 보온 모두 잘됩니다,"['학교', '보내다', '들다', '보내다', '만족하다', '보냉', '보온']"
108,제품도 정확하고 마음에 들어요 배송도 삘라서 좋아요,"['제품', '정확하다', '마음', '들다', '배송', '삘', '좋다']"
109,생각보다 조금 커요 그래도 손잡이가 있어 휴대하기 편할 것 같아요,"['생각', '크다', '손잡이', '휴대', '편하다']"
110,킨토 데이오프 텀블러 오랫동안 고민하다가 샀어요 맘에 들어요 예뻐요 보온도 진짜 잘됩니다,"['킨토', '데이', '데이오프', '텀블러', '고민', '사다', '맘', '들다', '예쁘다', '보온', '진짜']"
111,사유하기 편하고 아주 좋아요,"['사유', '편하다', '아주', '좋다']"
112,선물로 줬는데 너무 맘에 들어 하네요,"['선물', '주다', '맘', '들다']"
113,제가 써보고 너무 좋아서 친구한테 선물해 줬는데 대만족이라며,"['써다', '보고', '좋다', '친구', '선물', '주다', '대', '만족', '라며']"
114,보온 기능 길어서 좋아요,"['보온', '기능', '좋다']"
115,아이 꺼 조지 루시 쓰다가 요거 괜찮다 사봤는데 조지 루시가 워낙 가벼워 그보단 약간 무거운 거 같지만 그래도 가벼운 편입니다 그전 거는 손잡이가 없어 아이가 잘 떨어뜨렸는데 이건 손잡이가 있어 서 꺼내기도 좋을 거 같아요 색상은 그레이 카키 둘 다 이뻐요,"['끄다', '조지', '루시', '쓰다', '괜찮다', '사보다', '조지', '루시', '워낙', '가볍다', '무겁다', '가볍다', '편입', '니', '전', '손잡이', '없다', '자다', '떨어뜨리다', '이건', '손잡이', '서다', '꺼내다', '좋다', '색상', '그레이', '카키', '이쁘다']"
116,디자인 및 기능이 맘에 들어요 배송이 정말 빨라요,"['디자인', '기능', '맘', '들다', '배송', '정말', '빨르다']"
117,중간 뚜껑을 반드시 끼워야 돼서 약간 불편합니다 이것 말고는 만족,"['중간', '뚜껑', '끼우다', '불편하다', '만족']"
118,배송도 빠르고 제품도 좋아요,"['배송', '빠르다', '제품', '좋다']"
119,앞으로 외출할 때 꼭 가지고 다니려고요 ㅎㅎ,"['앞', '외출', '꼭', '가지', '다니다']"
120,배송 빠르고 색깔도 예쁘네요,"['배송', '빠르다', '색깔', '예쁘다']"
121,배송도 빠르고 색상도 마음에 들어요,"['배송', '빠르다', '색상', '마음', '들다']"
122,가볍고 보온 잘되고 좋아요,"['가볍다', '보온', '좋다']"
123,마시는 부분이 스테인리스강이 아니어서 좋아요 분리도 고무패킹도 다 되고 들고 다니는 손잡이도 고정이 여 마모 염려도 없어요 잘 고른 거 같아요,"['마시다', '부분', '스테인리스강', '아니다', '좋다', '분리', '고무', '패킹', '들다', '다니다', '손잡이', '고정', '마모', '염려', '없다', '자다', '고르다']"
124,잘 사용하고 있어요,"['자다', '사용']"
125,텀블러는 킨토가 짱,"['텀블러', '킨토', '짱']"
126,동글동글 귀여운 디자인에 반해서 샀는데 성능도 좋아요 연마제 제거할 때도 입구 쪽만 조금 나오고 깨끗하더라고요 500밀리인데 생각보다 사이즈가 작은 느낌이라 맘에 듭니다,"['동글동글', '귀엽다', '디자인', '반하다', '사다', '성능', '좋다', '연', '마제', '제거', '입구', '쪽', '나오다', '깨끗하다', '밀리', '생각', '사이즈', '작다', '느낌', '맘', '듭니']"
127,제가 생각한 것보다 색상은 좀 어두운 편이고 사이즈가  큰 편이에요  반품할까 했는데  별로 인건 아니라서  가격도 저렴하고 해서  그냥 사용하기로 했어요,"['생각', '색상', '두운', '편이', '사이즈', '크다', '편이', '반품', '별로', '아니다', '가격', '저렴하다', '그냥', '사용']"
128,한 달 이상 사용 소감은 사용하기 편리합니다 일단 뚜껑으로 많이 돌리지 않아도 된다는 점 이중으로 열려 얼음 담기도 좋고 마시기도 편함  설거지가 번거롭다는 단점,"['달', '사용', '소감', '사용', '편리하다', '뚜껑', '돌리지', '않다', '점', '이중', '열리다', '얼음', '담기다', '좋다', '마시기', '편하다', '설거지', '번거롭다', '단점']"
129,추천받고 쓴 건데 일단 디자인부터 너무 마음의 들고 새어 나오는 게 없는 것도 마음에 들어요,"['추천', '받다', '쓸다', '디자인', '마음', '들다', '새다', '나오다', '없다', '마음', '들다']"
130,텀블러 중 가장 좋아해요 선물하려고 여러 개 구매했어요 색상 모두 너무너무 이쁩니다,"['텀블러', '가장', '좋아하다', '선물', '여러', '구매', '색상', '이쁘다']"
131,3번째 구매에요 이쁘고 기능도 좋아요,"['구매', '이쁘다', '기능', '좋다']"
132,용량도 마음에 들고 깔끔하고 예뻐요,"['용량', '마음', '들다', '깔끔하다', '예쁘다']"
133,디자인 실용성 용량 모두 좋습니다,"['디자인', '실용', '용량', '좋다']"
134,들고 다니기 편한 손잡이 그립감과 사용성이 편해요 주변이 추천 중,"['들다', '다니다', '편하다', '손잡이', '그리다', '감', '사용성', '편하다', '주변', '추천']"
135,밀폐력 좋고 가벼운 텀블러 찾다가 구매했어요,"['밀폐', '좋다', '가볍다', '텀블러', '찾다', '구매']"
136,손잡이가 있어 가지고 다니기도 편해 앞으로 나들이 많아지는 계절인데 유용하게 잘 쓸 거 같아요,"['손잡이', '가지', '다니다', '기도', '편하다', '앞', '나들이', '많아지다', '계절', '유용하다', '자다', '쓸다']"
137,배송도 빠르고 맘에 들어요 ,"['배송', '빠르다', '맘', '들다']"
